Item Description,Location,Expected Classification
Greasy pizza box,"Chicago, IL",trash
Banana peel,"San Francisco, CA",compost
Plastic grocery bag,"New York, NY",trash
Aluminum can (rinsed),"Seattle, WA",recycle
Used napkin with food stains,"Dallas, TX",trash
Glass bottle (green),"Austin, TX",recycle
Plastic utensils,"Los Angeles, CA",trash
Cardboard box,"Boston, MA",recycle
Plastic bottle with cap,"Chicago, IL",recycle
Compostable coffee cup,"Portland, OR",compost
Foam egg carton,"Phoenix, AZ",trash
Shredded paper,"Denver, CO",trash
Tea bag,"Charlotte, NC",compost
Pizza box (clean),"San Diego, CA",recycle
Expired medicine,"Miami, FL",trash
Batteries,"Philadelphia, PA",trash
Cereal box liner,"Houston, TX",trash
Paper towel tube,"Minneapolis, MN",recycle
Magazine,"Philadelphia, PA",recycle
Plastic takeout container (greasy),"Atlanta, GA",trash
Wooden chopsticks,"Salt Lake City, UT",trash
Broken mirror,"Cleveland, OH",trash
Tin can (with label),"Seattle, WA",recycle
Compostable fork,"Berkeley, CA",compost
Used tissue,"Indianapolis, IN",trash
Plastic packaging film,"Detroit, MI",trash
Aluminum foil (clean),"New York, NY",recycle
Aluminum foil (dirty),"New York, NY",trash
Empty aerosol can,"Los Angeles, CA",recycle
Light bulb (incandescent),"San Jose, CA",trash
